,Source,Target,P,,,,,,,,,
2,MANCHESTER,PRESTON,6.00E-23,,,,,,,,,
3,CHESTERFIELD,OXFORD,3.00E-20,,,,,,,,,
4,LEEDS,OXFORD,6.00E-19,,,,,,,,,
5,LEEDS,NORWICH,5.00E-17,,,,,,,,,
6,NOTTINGHAM,CHESTERFIELD,7.00E-17,,,,,,,,,
7,MANCHESTER,CHESTERFIELD,2.00E-16,,,,,,,,,
8,PRESTON,CHESTERFIELD,4.00E-16,,,,,,,,,
9,BIRMINGHAM,OXFORD,7.00E-16,,,,,,,,,
10,BIRMINGHAM,NORWICH,5.00E-15,,,,,,,,,
11,LONDONBEXELY,OXFORD,5.00E-14,,,,,,,,,
12,LEEDS,LONDONBEXELY,8.00E-14,,,,,,,,,
13,NOTTINGHAM,OXFORD,2.00E-13,,,,,,,,,
14,BIRMINGHAM,NOTTINGHAM,6.00E-13,,,,,,,,,
15,LONDONBEXELY,CHESTERFIELD,9.00E-13,,,,,,,,,
16,LEEDS,CHESTERFIELD,1.00E-12,,,,,,,,,
17,BRISTOL,OXFORD,2.00E-12,,,,,,,,,
18,MANCHESTER,LONDONBEXELY,2.00E-12,,,,,,,,,
19,BRISTOL,CHESTERFIELD,4.00E-12,,,,,,,,,
20,CHESTERFIELD,NORWICH,4.00E-12,,,,,,,,,
21,BIRMINGHAM,CHESTERFIELD,7.00E-12,,,,,,,,,
22,LONDONBEXELY,LONDONROAD,9.00E-12,,,,,,,,,
23,NOTTINGHAM,NORWICH,2.00E-11,,,,,,,,,
