,Source,Target,P
2,MANCHESTER,PRESTON,5.00E-29
3,BRISTOL,OXFORD,9.00E-28
4,LONDONROAD,LONDONBEXELY,9.00E-23
5,CHESTERFIELD,PRESTON,2.00E-22
6,LONDONBEXELY,OXFORD,6.00E-18
7,NOTTINGHAM,MANCHESTER,2.00E-17
8,SOUTHAMPTON,OXFORD,8.00E-17
9,BIRMINGHAM,CHESTERFIELD,1.00E-16
10,BIRMINGHAM,MANCHESTER,1.00E-16
11,CHESTERFIELD,MANCHESTER,4.00E-14
12,MANCHESTER,LEEDS,1.00E-13
13,BIRMINGHAM,NOTTINGHAM,2.00E-13
14,SOUTHAMPTON,BRISTOL,2.00E-13
15,CHESTERFIELD,NOTTINGHAM,3.00E-13
16,LEEDS,NEWCASTLE,6.00E-13
17,BRISTOL,LONDONROAD,7.00E-13
18,BIRMINGHAM,LIVERPOOL,2.00E-12
19,CHESTERFIELD,LEEDS,2.00E-12
20,SOUTHAMPTON,LONDONBEXELY,2.00E-12
21,NOTTINGHAM,CHESTERFIELD,9.00E-12
22,LEEDS,PRESTON,1.00E-11
23,BRISTOL,LONDONBEXELY,2.00E-11
24,SOUTHAMPTON,LONDONROAD,3.00E-11
