Summer,Source,Target,P
2,LIVERPOOL,PRESTON,7.00E-17
3,LEEDS,NEWCASTLE,5.00E-11
4,LONDONROAD,LONDONBEXELY,2.00E-09
5,LEEDS,CHESTERFIELD,3.00E-09
6,LEEDS,NOTTINGHAM,2.00E-08
7,LONDONBEXELY,OXFORD,3.00E-08
8,PRESTON,NEWCASTLE,3.00E-08
9,MANCHESTER,NEWCASTLE,1.00E-07
10,LIVERPOOL,MANCHESTER,7.00E-07
11,SOUTHAMPTON,LONDONBEXELY,2.00E-06
12,NORWICH,LONDONBEXELY,3.00E-06
13,SOUTHAMPTON,OXFORD,5.00E-06
14,BIRMINGHAM,NOTTINGHAM,5.00E-06
15,LEEDS,PRESTON,8.00E-06
16,NEWCASTLE,CHESTERFIELD,1.00E-05
17,NORWICH,OXFORD,2.00E-05
18,LIVERPOOL,LEEDS,2.00E-05
19,NOTTINGHAM,CHESTERFIELD,4.00E-05
,,,8.00E-05
